id,genus
0000_av7f-8yVUNY,lactarius
0002_FVNX1Bdwf4s,boletus
0002_MoLhNp2kIAI,lactarius
0003_9A6sBrZ3ZaE,boletus
0003_f0DLNgJYt3M,lactarius
0005_ewWGUA7-KvU,boletus
0005_S57OF1cMyDs,lactarius
0006_Vh24Gx3FuuY,boletus
0007_IPF2Tc5Pk3o,lactarius
0007_klZ5Wbedtx8,boletus
0008_AKTJIixVK88,boletus
0008_SSJpwPhX7Rs,lactarius
0009_2hEUS66s6Gw,boletus
0009_NqouVLTTcw8,lactarius
000_jY-KIKiHVjQ,amanita
000_o5wtwaqK-UE,suillus
000_pIBnrKk4HoA,entoloma
000_Pw3qUBVmwN8,cortinarius
000_ZNTZP3tXkz8,hygrocybe
0010_7M6YHrGZ3aM,boletus
0010_vF92MBYp4JA,lactarius
0011_3pjOa46tbrs,boletus
0011__GVjqDH2VcY,lactarius
0012_CFjGc_3Z-PA,lactarius
0013_Pf2a-DpYFsA,boletus
0015_GGmsYA7IyQ4,lactarius
0015_koxxuWlLofc,boletus
0016_BdbaNeqknKA,boletus
0016_q41HH6LbKWo,lactarius
0017_j-9IXyoRLrY,boletus
0017_kFTM4G8c5ws,lactarius
0018_PcgJi7QNZ_w,boletus
0019_ecX_lrLyoMY,lactarius
0019_PxSKuIX0iAM,boletus
001_0eat5sScleY,lactarius
001_6c6LfbKIaC0,cortinarius
001_jNbj1WMvR-8,russula
001_NUB78aw261Y,suillus
001_p-EUoR7BDfY,hygrocybe
001_snpsXKPF4ys,entoloma
0020_7OiZ70gmzSc,lactarius
0021_gQ7nmuCS0S4,boletus
0021_QgSprYSMBqw,lactarius
0022_9MgcGSynGbk,boletus
0023_eFVn-bnP7qI,lactarius
0023_JAAEdifq1MY,boletus
0024_0ooZ0mkNXJU,boletus
0025_3OT44ulZ66g,lactarius
0025_pHyfi4NDa4Q,boletus
0026_autPTj6WXpU,lactarius
0026_F1YdfaWItpI,boletus
0027_-iNiwa0oVIo,boletus
0027_XFWCAmkVPb0,lactarius
0028_0jyzEhA4KVQ,lactarius
0028_4iHsFc3RHrI,boletus
0029_62qyp3n74q0,boletus
0029_qkhtw12ZFAE,lactarius
002_-WkK-Cd2TLA,russula
002_g66ON4xXYG4,entoloma
002_pJY3-9Ttfto,amanita
002_Td9tM0040uI,russula
002_yBYBSt8vVoU,lactarius
002_Z3wVbJrnVa0,cortinarius
002__0HKQCy5_sQ,hygrocybe
002__QuxTmpPRBQ,suillus
0030_RbPFh3P5ATE,boletus
0031_EAWUFROZu5Y,lactarius
0031_rzkyX45VjLo,boletus
0032_DJQI_oyd-ko,lactarius
0032_Sl_iMoAAJyU,boletus
0033_aUAYBFXlA8w,lactarius
0034_B0nRW_FpyM0,lactarius
0034_UTf2AuBiESI,boletus
0035_EV3ps3BGwtE,lactarius
0035_MSxXc9wuQP4,boletus
0036_41TvrPm_kzc,boletus
0036_UjqjlkUecEk,lactarius
0037_p_4Fg-Ihr8k,lactarius
0037_qOpfircUoRA,boletus
0038_7cuYWAnUKUg,lactarius
0038_kua_jCSpOIs,boletus
0039_HuAnhDpyqsY,boletus
003_eIMrvDdKleY,russula
003_Irz75i3SKq4,lactarius
003_Iy7eywnsU1w,amanita
003_ysU9uALX9uI,russula
0040_8wmTdjhnq64,lactarius
0040_V3ruyiKYD74,boletus
0041_5l8pwNysTkc,lactarius
0041_cjdLd3k6H70,boletus
0042_gm_hh5XherQ,boletus
0043_cW4zMYaD0-Q,lactarius
0043_dWwubaDOSfI,boletus
0044_rlTPJQY1L3g,lactarius
0044_zMTVruDqDhA,boletus
0045_gWlzB0NaDyU,boletus
0045_yiBY2rcP7Nk,lactarius
0046_LLGTJ5NpqtY,boletus
0046_Sek9zNahsUY,lactarius
0047_d6T94oP5tMY,lactarius
0047_GxDLObPWJ78,boletus
0048_fkENWbJERdE,lactarius
0048_wGU2ETPlfqY,boletus
0049_bGXjLlEtiX8,lactarius
004_EqndkVuYwos,cortinarius
004_HmcJQ_lPE3g,entoloma
004_LMWP6X0bx7g,suillus
004_uURYojZQbjQ,hygrocybe
0050_4Ozga4jcwG0,boletus
0050_lPY-LCPQcVY,lactarius
0051_iiFCCLXrv5s,lactarius
0053_IRPp7LVeHuw,boletus
0053_ruv2ii_rE9E,lactarius
0054_1X0xT6gYsAs,boletus
0055_4ZvARN3Qa6A,lactarius
0056_-AECVGrx8AE,lactarius
0056_RT58fobfSiY,boletus
0057_vo2wCaUiwF0,lactarius
0057_xWBkl85FiAk,boletus
0058_Ksaju-DFTOM,lactarius
0059_DpeHFLXqF-M,lactarius
0059_k9UhBeiN_1Q,boletus
005_4zrEN39EHeU,suillus
005_K5H990g_JZQ,amanita
005_PboNeVptEe0,russula
005_QJIGT6Nm-dE,entoloma
005_rf92ELmZl9U,russula
005_w9ZVoplkTZ8,cortinarius
005_wsn6CwNhHq0,hygrocybe
0060_zbOQxCzhd4I,lactarius
0061_-RQMUF6aiTI,boletus
0061_KQJ_WSybjJA,lactarius
0063_TQC-lIb1Kxc,boletus
0064_s_T_HSkg3ys,lactarius
0064_VfeZvVx0NK0,boletus
0065_N65jO82uJNo,lactarius
0065_rlzqAD_x-3A,boletus
0066_55sBhLG67-s,lactarius
0067_GO9iYtEXOTU,lactarius
0067_WQyWJ44jQVY,boletus
0069_4SdrrvGdgtw,boletus
0069_ezQx8wKAzSc,lactarius
006_862rFWvLb4I,amanita
006_8Su_kJ43Mho,suillus
006_EuhwpcQAbXc,russula
006_rY4Zw7MF--Q,lactarius
006_rZ-82kb3wpM,russula
006_wR0nc64hb7I,hygrocybe
006_yYLHXSJGfrk,entoloma
0070_HRm2WTzrPt0,lactarius
0070_oSXloOw9Ngk,boletus
0071_2YKUxBBp95A,lactarius
0072_bDZbprmqiYM,lactarius
0072_CGZ-vVRo0YA,boletus
0073_-fQB9q3nTWU,boletus
0073_IWjjJfmvNV4,lactarius
0074_jibILTKpe78,lactarius
0075_DMm6FldBtXw,boletus
0075_NRdxruQmPo8,lactarius
0076_EzLb5aAPwdo,lactarius
0076_yMZR41Idcn0,boletus
0077_6ykl0RcTSvg,lactarius
0077_h130cic4yo4,boletus
0078_67hlnzvWweg,lactarius
0078_MvVJnU5i780,boletus
0079_548oJGZe54w,lactarius
0079_EQMJs1DPN_s,boletus
007_agyB6OZcMlk,russula
007_uVx2tVA62JE,cortinarius
007_Vd19bPD6Kvk,hygrocybe
007_xQlj8bhMbBc,lactarius
007_zw2GdaME06A,entoloma
0080_S6YwiOQAQN0,lactarius
0080_wlJlB7XvRak,boletus
0082_6FL55Iccw38,lactarius
0082_8VgnfZfd71A,boletus
0083_EHoc8dVWTm8,boletus
0083_vq68xa2XYLo,lactarius
0084_fl-kd5X_WH0,lactarius
0084_VCRPZn7Ef_4,boletus
0085_CmVBoyP8w0c,boletus
0085_m5xg2ioUV4k,lactarius
0086_iDg6V82x4Uw,boletus
0087_rHw80U37w70,lactarius
0087_zY-5wOyCuYY,boletus
0088_sSkqkDAK-dQ,lactarius
0089_8XXS1pT0lF0,lactarius
008_AZvp1cwweLk,entoloma
008_d9knn6VSD-U,cortinarius
008_Dz7lB9JtqxQ,russula
008_euaqSUZFtMY,amanita
008_Hyfl4fSbciM,hygrocybe
008_Pca_L54lGyc,lactarius
008_qBOs_2DBuJ4,suillus
008_UgdksrhRnsQ,russula
0090_PCyZBE7zH28,boletus
0091_GJfhcGAsQEs,lactarius
0091_To4lpASkfXQ,boletus
0092_lAL2nLK6Yqc,lactarius
0092_pGMk6yFw-kw,boletus
0093_BcWRNVZriMY,boletus
0094_vmy3cMs8Rx8,lactarius
0095_M-iPpALSa48,lactarius
0095_qKqQfY7wenA,boletus
0096_Np7KnMh3WDQ,boletus
0096_YCFCQKyiPFI,lactarius
0097_ZPB1mcu8tOc,boletus
0098_ljg9CXr-6N8,lactarius
0098_zOyknhIZVgE,boletus
0099_DXVPtL-oMIU,lactarius
0099_qRz-LupYgtg,boletus
009_FXrjeqzS7RU,entoloma
009_ibeII169AxM,hygrocybe
009_Ju6HCFyCk1o,russula
009_KY8mbwgTF74,suillus
009_NS7hEbHx61s,cortinarius
009_rcZ8cs8cjko,lactarius
0100_Um24DDdxtxY,boletus
0101_GFyNRQOStVg,lactarius
0101_GsKAgZD9HIA,boletus
0102_eGP4TjvSzpo,lactarius
0102_FpIO3f_Y888,boletus
0103_3NNH1EH89NY,boletus
0103_cvg_sY0B6E8,lactarius
0104_LUJyC2rEkTE,lactarius
0105_7lVm0lLO6FQ,boletus
0105_zY5plDaQR3g,lactarius
0106_s46O47lshpI,boletus
0106_xA3eNf-Gxcw,lactarius
0107_D7n2K3JZWIo,boletus
0108_AoE07pNPcog,boletus
0108_bkdZqadlJYM,lactarius
0109_RmzC_-AQ0x0,lactarius
010_Dm4XhIrCgr8,suillus
010_Ji4N7IDyRKY,amanita
010_jqx98ojgibw,lactarius
010_JT0c-YlLV28,russula
010_oQDL5LlWz8s,entoloma
010_Pvz422UdjTg,russula
010_VVjiGvYb6yM,hygrocybe
0110_A_F3PAXmwBw,boletus
0111_A2YhkB2bWPE,boletus
0111_veEuEAyk9rQ,lactarius
0112_PUv7HQg_e9A,lactarius
0112_s0d_HuRINsw,boletus
0113_12E_YH7bGzQ,lactarius
0114_j5d1etOdlCA,boletus
0116_P-Imfr0iMu0,boletus
0117_uT3TmoQaHT4,boletus
0118_QJNT91dO0IQ,lactarius
0119_mburMu9wjx4,lactarius
